,Step,HORSE penalty,CONOP penalty,Spearmans rho of horizon,Spearmans rho p-value of horizon,Kendalls tau of horizon,Kendalls tau p-value of horizon,Kruskal s^2 of horizon,Spearmans rho of event,Spearmans rho p-value of event,Kendalls tau of event,Kendalls tau p-value of event,Kruskal s^2 of event
77,78,13111.0,15641.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229074221508216,0.0,0.8009460557995525,0.0,0.11898904276271244
78,79,13111.0,15641.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229074221508216,0.0,0.8009460557995525,0.0,0.11898904276271244
79,80,13111.0,15641.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229074221508216,0.0,0.8009460557995525,0.0,0.11898904276271244
80,81,13111.0,15641.0,0.8218769948275264,0.0,0.6788285255385494,0.0,0.2599619715334519,0.9229074221508216,0.0,0.8009460557995525,0.0,0.11898904276271244
81,82,12739.0,15239.0,0.8304767080480789,0.0,0.6932530383332143,0.0,0.24605858762750024,0.9209458928909042,0.0,0.8026715606263025,0.0,0.11979396249355484
82,83,12560.0,14909.0,0.8267037417405153,0.0,0.6865169849503296,0.0,0.25231987241085846,0.9199216956392258,0.0,0.7996594711195116,0.0,0.12212560748090055
83,84,12568.0,14886.0,0.8366549924427499,0.0,0.6985958405585041,0.0,0.24007154905774075,0.9195120573696,0.0,0.7997792597428842,0.0,0.12251266100237329
84,85,12126.0,14410.0,0.8433815895825668,0.0,0.7042109737336046,0.0,0.2316960260704589,0.9255235280406635,0.0,0.8069199418796573,0.0,0.11462116880115432
85,86,11870.0,14319.0,0.8494712248099957,0.0,0.7087412968821115,0.0,0.2240828655874778,0.9331929354203359,0.0,0.813497343161487,0.0,0.10492166356469651
86,87,11870.0,14319.0,0.8494712248099957,0.0,0.7087412968821115,0.0,0.2240828655874778,0.9331929354203359,0.0,0.813497343161487,0.0,0.10492166356469651
87,88,11870.0,14319.0,0.8494712248099957,0.0,0.7087412968821115,0.0,0.2240828655874778,0.9331929354203359,0.0,0.813497343161487,0.0,0.10492166356469651
88,89,11638.0,13724.0,0.8524619144901175,0.0,0.7163169119776719,0.0,0.21766015726175442,0.9364505019764493,0.0,0.8183391810298712,0.0,0.09863418776555061
89,90,11376.0,13675.0,0.8530800468901324,0.0,0.716816436150805,0.0,0.21586275165747004,0.9408368382994864,0.0,0.8255905076202938,0.0,0.09296923905564378
90,91,11168.0,13313.0,0.8561972992151127,0.0,0.7209886666691743,0.0,0.21174961290990696,0.9395127026692446,0.0,0.8256225122143247,0.0,0.09332226059567042
91,92,11168.0,13313.0,0.8561972992151127,0.0,0.7209886666691743,0.0,0.21174961290990696,0.9395127026692446,0.0,0.8256225122143247,0.0,0.09332226059567042
92,93,11168.0,13313.0,0.8561972992151127,0.0,0.7209886666691743,0.0,0.21174961290990696,0.9395127026692446,0.0,0.8256225122143247,0.0,0.09332226059567042
93,94,10318.0,12158.0,0.8723946930203135,0.0,0.7453600297908994,0.0,0.18864848486177976,0.9491855757906013,0.0,0.8415397684513343,0.0,0.07877449598178243
94,95,10318.0,12158.0,0.8723946930203135,0.0,0.7453600297908994,0.0,0.18864848486177976,0.9491855757906013,0.0,0.8415397684513343,0.0,0.07877449598178243
95,96,10318.0,12158.0,0.8723946930203135,0.0,0.7453600297908994,0.0,0.18864848486177976,0.9491855757906013,0.0,0.8415397684513343,0.0,0.07877449598178243
96,97,10118.0,11962.0,0.8726891724329744,0.0,0.743566557458445,0.0,0.18825673480286717,0.9501476363774589,0.0,0.8428565288914615,0.0,0.07821841787819357
97,98,9817.0,11649.0,0.8761005639781916,0.0,0.7457527280113445,0.0,0.18616950321280576,0.9511818288663533,0.0,0.8481574040799456,0.0,0.0765828197194349
98,99,9690.0,11348.0,0.8784360264551332,0.0,0.7452306349749673,0.0,0.18333369471007294,0.9564545943615751,0.0,0.8522750237062601,0.0,0.06956974662868887
99,100,9690.0,11348.0,0.8784360264551332,0.0,0.7452306349749673,0.0,0.18333369471007294,0.9564545943615751,0.0,0.8522750237062601,0.0,0.06956974662868887
100,101,9690.0,11348.0,0.8784360264551332,0.0,0.7452306349749673,0.0,0.18333369471007294,0.9564545943615751,0.0,0.8522750237062601,0.0,0.06956974662868887
101,102,9414.0,11287.0,0.8852355105132184,0.0,0.7563074330551094,0.0,0.1737156375801339,0.955066732213019,0.0,0.8495528043796915,0.0,0.07154972350970791
102,103,9414.0,11287.0,0.8852355105132184,0.0,0.7563074330551094,0.0,0.1737156375801339,0.955066732213019,0.0,0.8495528043796915,0.0,0.07154972350970791
103,104,9398.0,11302.0,0.8929550159409192,0.0,0.7671239369125042,0.0,0.16227077435777812,0.9565911867621043,0.0,0.8530266744574992,0.0,0.06937330878519869
104,105,9133.0,10912.0,0.897316191544155,0.0,0.7706567163056275,0.0,0.15633357935279676,0.9617227816554337,0.0,0.8589146053422069,0.0,0.06268880519444081
105,106,8797.0,10538.0,0.899278794827128,0.0,0.7767683644720954,0.0,0.1516972326974969,0.9626044556846053,0.0,0.8629718734483487,0.0,0.06052133273769263
106,107,8797.0,10538.0,0.899278794827128,0.0,0.7767683644720954,0.0,0.1516972326974969,0.9626044556846053,0.0,0.8629718734483487,0.0,0.06052133273769263
107,108,8765.0,10436.0,0.9038349034550498,0.0,0.7822164880591906,0.0,0.1463556264184718,0.965203977554451,0.0,0.8676006521621847,0.0,0.05664787099309526
108,109,8683.0,10369.0,0.90800830113767,0.0,0.7847035767886764,0.0,0.14134179185868648,0.9654131238956195,0.0,0.8662006797775772,0.0,0.056864671446756186
109,110,8538.0,10253.0,0.9107949417424623,0.0,0.7900839937860397,0.0,0.13772917236885351,0.9641888226764349,0.0,0.8657681605496743,0.0,0.058730453209653054
110,111,8538.0,10253.0,0.9107949417424623,0.0,0.7900839937860397,0.0,0.13772917236885351,0.9641888226764349,0.0,0.8657681605496743,0.0,0.058730453209653054
111,112,8488.0,10264.0,0.9117611877948474,0.0,0.7908092065916126,0.0,0.1350086539281984,0.9663573159971689,0.0,0.8703841374258979,0.0,0.054719338877262824
112,113,8237.0,9831.0,0.914759190229187,0.0,0.7950581712450113,0.0,0.1316595244350841,0.9690000614354515,0.0,0.8781036455061435,0.0,0.050826818394446555
113,114,8237.0,9831.0,0.914759190229187,0.0,0.7950581712450113,0.0,0.1316595244350841,0.9690000614354515,0.0,0.8781036455061435,0.0,0.050826818394446555
114,115,8237.0,9831.0,0.914759190229187,0.0,0.7950581712450113,0.0,0.1316595244350841,0.9690000614354515,0.0,0.8781036455061435,0.0,0.050826818394446555
115,116,7726.0,9383.0,0.9178689168339603,0.0,0.7992785486716343,0.0,0.12734756048613738,0.9689891959074529,0.0,0.8789503956225031,0.0,0.05094258470792879
116,117,7662.0,9267.0,0.9200083123114698,0.0,0.8050667097982719,0.0,0.12322897240808887,0.9714558345980282,0.0,0.8828092352456536,0.0,0.046929689435950044
117,118,7424.0,9008.0,0.9208743205278637,0.0,0.8057783812858985,0.0,0.1218389036939765,0.9685162806823718,0.0,0.879703875207687,0.0,0.05100152166744779
118,119,7199.0,8794.0,0.9258731550230879,0.0,0.8137316486930747,0.0,0.11480651335991357,0.9719170860916665,0.0,0.884303392578409,0.0,0.0466662420014352
119,120,7199.0,8794.0,0.9258731550230879,0.0,0.8137316486930747,0.0,0.11480651335991357,0.9719170860916665,0.0,0.884303392578409,0.0,0.0466662420014352
120,121,7189.0,8812.0,0.9258235699029607,0.0,0.814625375677536,0.0,0.11455972499736612,0.9744976240884682,0.0,0.8910737358413962,0.0,0.04206715756269924
121,122,6958.0,8419.0,0.9284392237107593,0.0,0.8191301207810331,0.0,0.11044475112704527,0.9763960690627272,0.0,0.8938416760165803,0.0,0.03947178629519806
122,123,6958.0,8419.0,0.9284392237107593,0.0,0.8191301207810331,0.0,0.11044475112704527,0.9763960690627272,0.0,0.8938416760165803,0.0,0.03947178629519806
123,124,6597.0,8055.0,0.932825935872124,0.0,0.8253801913087307,0.0,0.10414959296600067,0.9766947020051159,0.0,0.8955114014080192,0.0,0.038875575009416505
124,125,6597.0,8055.0,0.932825935872124,0.0,0.8253801913087307,0.0,0.10414959296600067,0.9766947020051159,0.0,0.8955114014080192,0.0,0.038875575009416505
125,126,6516.0,7848.0,0.9362016072128319,0.0,0.8310479851647338,0.0,0.09846418200987928,0.9783099197566603,0.0,0.8967678103279739,0.0,0.036535575781089395
126,127,6516.0,7848.0,0.9362016072128319,0.0,0.8310479851647338,0.0,0.09846418200987928,0.9783099197566603,0.0,0.8967678103279739,0.0,0.036535575781089395
127,128,6249.0,7620.0,0.9356480394627639,0.0,0.830384460585361,0.0,0.09932378856250748,0.9765284109316161,0.0,0.895887226783639,0.0,0.0388355130850026
128,129,6084.0,7413.0,0.9410264401977122,0.0,0.8400078238725912,0.0,0.09115875749668009,0.9798795350575823,0.0,0.9011067188615874,0.0,0.03414542425749762
129,130,6084.0,7413.0,0.9410264401977122,0.0,0.8400078238725912,0.0,0.09115875749668009,0.9798795350575823,0.0,0.9011067188615874,0.0,0.03414542425749762
130,131,5850.0,7221.0,0.944204581434986,0.0,0.8448646432426942,0.0,0.08686433134772358,0.981162865321939,0.0,0.9072205107384558,0.0,0.031555679505897855
131,132,5846.0,7080.0,0.9456060110397145,0.0,0.8477128337840837,0.0,0.0851168653561321,0.9826759942947353,0.0,0.9103359293631178,0.0,0.029302491755643333
132,133,5641.0,6903.0,0.9462499095585996,0.0,0.8516819445332571,0.0,0.0833722102932322,0.982063566476558,0.0,0.91277467942827,0.0,0.029656321354842384
133,134,5528.0,6833.0,0.947421454824327,0.0,0.85350550868337,0.0,0.08206509238008373,0.9838406124399813,0.0,0.9154923266699768,0.0,0.027393103206764077
134,135,5363.0,6631.0,0.9488526554148347,0.0,0.8556931838271526,0.0,0.07970468321999616,0.9824637141203407,0.0,0.9122699212595546,0.0,0.029387020624730323
135,136,5353.0,6570.0,0.9471482471184319,0.0,0.8531624619620617,0.0,0.0825153897900296,0.9826464489711952,0.0,0.9103386726140347,0.0,0.029627233086586467
136,137,5173.0,6487.0,0.9497977901763935,0.0,0.8599722402982098,0.0,0.07792801162534677,0.9850752404981408,0.0,0.9199254201517384,0.0,0.02548164959005805
137,138,5173.0,6487.0,0.9497977901763935,0.0,0.8599722402982098,0.0,0.07792801162534677,0.9850752404981408,0.0,0.9199254201517384,0.0,0.02548164959005805
138,139,5122.0,6312.0,0.9511288165441274,0.0,0.8592816330829443,0.0,0.07665033539931998,0.9848525430479276,0.0,0.9175150170127278,0.0,0.025958500165699786
139,140,5100.0,6300.0,0.9521566927410793,0.0,0.8604672506986943,0.0,0.07542227923804966,0.9853642923778427,0.0,0.9167807401839624,0.0,0.02543692154150303
140,141,4926.0,6155.0,0.9522933118058832,0.0,0.8628821190657995,0.0,0.07496608327242417,0.9850791332144442,0.0,0.91846966833182,0.0,0.025639797658205694
141,142,4759.0,5970.0,0.9552498052329229,0.0,0.8664449902765814,0.0,0.07087292264095085,0.9874542852078132,0.0,0.9234541552478848,0.0,0.021962962502891103
142,143,4592.0,5743.0,0.9559740942639464,0.0,0.86858451851211,0.0,0.06946726608587986,0.9876576213094619,0.0,0.9240832741248345,0.0,0.02159512462765472
143,144,4592.0,5743.0,0.9559740942639464,0.0,0.86858451851211,0.0,0.06946726608587986,0.9876576213094619,0.0,0.9240832741248345,0.0,0.02159512462765472
144,145,4534.0,5667.0,0.9569932858738167,0.0,0.8710309832877567,0.0,0.0679997819760658,0.987509458235691,0.0,0.9233453396281797,0.0,0.021924569847255316
145,146,4480.0,5524.0,0.9610026997449499,0.0,0.8776195867641139,0.0,0.06209673903657797,0.9890133705145323,0.0,0.9309999241033913,0.0,0.019204697379829574
146,147,4359.0,5472.0,0.9597237034575279,0.0,0.8770433284559512,0.0,0.06359667370883483,0.9879496720224645,0.0,0.9272252108416934,0.0,0.020877876035702472
147,148,4359.0,5472.0,0.9597237034575279,0.0,0.8770433284559512,0.0,0.06359667370883483,0.9879496720224645,0.0,0.9272252108416934,0.0,0.020877876035702472
148,149,4242.0,5405.0,0.9586666039016255,0.0,0.8743606429116842,0.0,0.06553566742149235,0.9875608853433008,0.0,0.9276924779145441,0.0,0.02144434801368596
149,150,4242.0,5405.0,0.9586666039016255,0.0,0.8743606429116842,0.0,0.06553566742149235,0.9875608853433008,0.0,0.9276924779145441,0.0,0.02144434801368596
150,151,4170.0,5292.0,0.96278177612971,0.0,0.8825200392698219,0.0,0.0591065945165458,0.9879701933218464,0.0,0.9304000665695557,0.0,0.02054209485246373
151,152,4170.0,5292.0,0.96278177612971,0.0,0.8825200392698219,0.0,0.0591065945165458,0.9879701933218464,0.0,0.9304000665695557,0.0,0.02054209485246373
152,153,4055.0,5152.0,0.9673149397466668,0.0,0.8881712826261129,0.0,0.053086845432866014,0.9901569719237757,0.0,0.9348048131251755,0.0,0.01736404534585656
